product,title,rate,body
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Xiaomi não decepciona.,"5,0 de 5 estrelas","O celular atendeu bem as expectativas, eu comprei para dar de presente e a pessoa gostou muito."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Recomendo,"5,0 de 5 estrelas",Totalmente eficiente e atendeu todas as expectativas desde a entre
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo aparelho!,"5,0 de 5 estrelas","A bateria é uma maravilha! O processador é perfeito para o meu uso em apps, sem jogos. Executa as tarefas sempre instantaneamente. Os 2 Gb de RAM dão conta perfeitamente do uso com redes sociais, mensageiros e players de mídia. Ambas as câmeras são ótimas! Tem proteção gorila glass 5, coisa que nenhum outro das ""marcas famosas"" nessa faixa de preço tem. A MIUI é show! O carregador de 10w (2A) é ótimo. Sempre gostei de ouvir rádio, mas em smartphones era chato pelo fato de ter que conectar o fone, mas, no Redmi 8A isso não é problema, a antena FM é interna (y). São Mil e uma qualidades desse aparelho. Podem comprar sem medo se os 32 Gb não forem um problema pra você (pra mim, com Whats, Insta, Nubank, Banco do Brasil, Clear Corretora, RadiosNet, Infomoney, Kindle, Amazon Music, Mercado Livre, Mercado Pago, Foobar2000, não é). Só mais uma coisa, o app WPS que já vem nativo é muito bom, pois te livra de pelo menos 3 apps: Word, Excel e Power Point. As fotos anexadas fora tiradas com ele."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Bom aparelho, poderia ser melhor!!","4,0 de 5 estrelas","Aparelho bom, pela faixa de preço tá melhor que muitos aí de primeira linha, bom acabamento, bateria incrível, câmera razoável, única coisa que poderia ser melhor era ter uma tela Full HD+, pois pra quem é observador se olhar nitidamente percebe os pixels, tem celulares pelo mesmo preço com uma tela melhor Full HD+, a resolução é outra, rs. Nesse aparelho, nos vídeos do YouTube não vê direito com essa resolução ruim... Achei as cores também um pouco sem vida comparado a outros da mesma faixa de preço...poderia ter um sensor de digital também. O maior ponto positivo é a bateria mesmo, muito boa, em uso moderado dar dois dias tranquilo, não esquenta tmb, mesmo mexendo direto, e o ponto negativo é a fonte do carregador que vem no padrão indiano, poderiam explicar isso no anúncio ou na hora da compra...pois quando chega o aparelho tem que correr atrás de um adaptador, mas fora isso é um aparelho bom, poderia ser melhor...mas tá valendo!!!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Como imaginei,"5,0 de 5 estrelas",Exatamento o que eu queria.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo celular low end,"5,0 de 5 estrelas",Ótimo celular low end
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Atendeu as espectativas,"4,0 de 5 estrelas","comprei para minha mãe, senti que ele é um pouco lento para fazer transição entre telas comparado ao meu Poco X3 Pro, e depois de alguns meses a camera dele no whatsapp começou a bugar dando um zoom enoorme. Mas fora isso, ele tá ótimo ainda."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Muito bom!,"5,0 de 5 estrelas",Muito bom!
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Modelo antigo mas superior ao novo,"4,0 de 5 estrelas","Celular muito bom, otimo custo benefico paguei 800 mais 20 de frete para interior de sp no dia 15/02/21, so um porem, o carregador que vem nele e de 20A e um padrao diferente do brasil, vem com adaptador para usar mais nao gosto muito, tirando este problema ele e muito bom para seu valor"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo,"5,0 de 5 estrelas","Celular excelente, recomendo"
